05/16/13 08:15:02 AM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.41     2.28    19.29     8.87     0.01    2.63   0.24   0.06
dm-9              0.00     0.00   26.88   31.85  2222.43  1365.36    61.09     0.02    0.33   0.26   1.54
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:15:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   27.60   29.01  2219.90  1374.16    63.48     0.02    0.30   0.27   1.55
dm-0              0.02     5.08   27.21   29.01  2216.68  1374.16    63.87     0.02    0.32   0.29   1.61
dm-3              0.00     0.00    0.18    0.00     5.83     0.00    31.67     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   26.78   34.09  2208.73  1374.16    58.86     0.03    0.42   0.26   1.57
dm-5              0.00     0.00    0.87    0.04     6.98     0.34     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.42     2.26    19.35     8.85     0.01    2.64   0.24   0.06
dm-9              0.00     0.00   26.65   31.67  2205.60  1354.80    61.05     0.02    0.33   0.26   1.53
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:20:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   27.36   28.86  2201.68  1365.81    63.45     0.02    0.30   0.27   1.54
dm-0              0.02     5.08   26.97   28.86  2198.47  1365.81    63.84     0.02    0.32   0.29   1.60
dm-3              0.00     0.00    0.18    0.00     5.77     0.00    31.56     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   26.54   33.94  2190.58  1365.81    58.80     0.03    0.42   0.26   1.57
dm-5              0.00     0.00    0.86    0.04     6.91     0.34     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.43     2.24    19.42     8.84     0.01    2.65   0.24   0.06
dm-9              0.00     0.00   26.41   31.51  2187.47  1346.39    61.01     0.02    0.33   0.26   1.52
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:25:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   27.13   28.69  2184.36  1355.78    63.42     0.02    0.30   0.27   1.53
dm-0              0.02     5.07   26.74   28.69  2181.15  1355.78    63.81     0.02    0.32   0.29   1.60
dm-3              0.00     0.00    0.18    0.00     5.72     0.00    31.46     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   26.31   33.76  2173.31  1355.78    58.74     0.03    0.42   0.26   1.56
dm-5              0.00     0.00    0.86    0.04     6.85     0.34     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.44     2.22    19.48     8.83     0.01    2.65   0.24   0.06
dm-9              0.00     0.00   26.19   31.33  2170.23  1336.30    60.97     0.02    0.33   0.26   1.51
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:30:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   26.90   28.53  2167.50  1346.65    63.39     0.02    0.30   0.27   1.52
dm-0              0.02     5.08   26.51   28.53  2164.30  1346.65    63.79     0.02    0.32   0.29   1.59
dm-3              0.00     0.00    0.18    0.00     5.66     0.00    31.35     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   26.09   33.61  2156.52  1346.65    58.68     0.03    0.42   0.26   1.55
dm-5              0.00     0.00    0.85    0.04     6.78     0.34     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.45     2.20    19.59     8.82     0.01    2.66   0.24   0.06
dm-9              0.00     0.00   25.96   31.16  2153.46  1327.05    60.93     0.02    0.33   0.26   1.50
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:35:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   26.67   28.35  2149.10  1335.52    63.34     0.02    0.30   0.28   1.51
dm-0              0.02     5.07   26.28   28.35  2145.90  1335.52    63.73     0.02    0.32   0.29   1.58
dm-3              0.00     0.00    0.18    0.00     5.61     0.00    31.25     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   25.86   33.42  2138.18  1335.52    58.60     0.03    0.43   0.26   1.54
dm-5              0.00     0.00    0.84    0.04     6.72     0.34     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.46     2.17    19.65     8.81     0.01    2.65   0.24   0.06
dm-9              0.00     0.00   25.73   30.96  2135.14  1315.87    60.87     0.02    0.33   0.26   1.49
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:40:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   26.43   28.17  2130.20  1324.55    63.28     0.02    0.30   0.28   1.50
dm-0              0.02     5.07   26.04   28.17  2127.00  1324.55    63.68     0.02    0.32   0.29   1.57
dm-3              0.00     0.00    0.18    0.00     5.56     0.00    31.15     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   25.62   33.24  2119.34  1324.55    58.52     0.03    0.43   0.26   1.53
dm-5              0.00     0.00    0.83    0.04     6.65     0.34     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.46     2.15    19.72     8.80     0.01    2.65   0.24   0.06
dm-9              0.00     0.00   25.49   30.77  2116.33  1304.82    60.81     0.02    0.33   0.26   1.48
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:45:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   26.20   27.99  2111.81  1313.86    63.21     0.02    0.30   0.28   1.49
dm-0              0.02     5.06   25.81   27.99  2108.62  1313.87    63.62     0.02    0.32   0.29   1.56
dm-3              0.00     0.00    0.18    0.00     5.51     0.00    31.05     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   25.39   33.06  2101.01  1313.87    58.43     0.03    0.43   0.26   1.52
dm-5              0.00     0.00    0.82    0.04     6.59     0.33     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.47     2.13    19.77     8.79     0.01    2.66   0.24   0.06
dm-9              0.00     0.00   25.26   30.58  2098.02  1294.09    60.74     0.02    0.33   0.26   1.47
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:50:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   26.43   28.97  2140.95  1373.01    63.42     0.02    0.30   0.28   1.53
dm-0              0.02     5.07   26.04   28.97  2137.76  1373.01    63.82     0.02    0.32   0.29   1.60
dm-3              0.00     0.00    0.18    0.00     5.46     0.00    30.95     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   25.63   34.04  2130.20  1373.01    58.72     0.03    0.43   0.26   1.56
dm-5              0.00     0.00    0.82    0.04     6.53     0.33     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.48     2.11    19.83     8.78     0.01    2.65   0.24   0.06
dm-9              0.00     0.00   25.50   31.55  2127.23  1353.17    61.00     0.02    0.33   0.27   1.51
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 03:55:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   26.24   28.87  2125.83  1365.30    63.35     0.02    0.30   0.28   1.53
dm-0              0.02     5.07   25.85   28.87  2122.64  1365.30    63.74     0.02    0.32   0.29   1.59
dm-3              0.00     0.00    0.18    0.00     5.41     0.00    30.85     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   25.44   33.94  2115.14  1365.30    58.62     0.03    0.43   0.26   1.56
dm-5              0.00     0.00    0.81    0.04     6.47     0.33     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.49     2.09    19.89     8.77     0.01    2.66   0.24   0.06
dm-9              0.00     0.00   25.31   31.45  2112.19  1345.40    60.92     0.02    0.33   0.27   1.51
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 04:00:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   26.02   28.69  2108.00  1354.51    63.29     0.02    0.30   0.28   1.52
dm-0              0.02     5.06   25.63   28.69  2104.82  1354.51    63.69     0.02    0.32   0.29   1.58
dm-3              0.00     0.00    0.17    0.00     5.36     0.00    30.75     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   25.21   33.76  2097.37  1354.51    58.54     0.03    0.43   0.26   1.55
dm-5              0.00     0.00    0.80    0.04     6.41     0.33     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.49     2.08    19.95     8.76     0.01    2.67   0.24   0.06
dm-9              0.00     0.00   25.09   31.26  2094.44  1334.56    60.85     0.02    0.33   0.27   1.50
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 04:05:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   25.79   28.51  2090.28  1343.88    63.23     0.02    0.30   0.28   1.51
dm-0              0.02     5.06   25.40   28.51  2087.10  1343.88    63.63     0.02    0.32   0.29   1.57
dm-3              0.00     0.00    0.17    0.00     5.32     0.00    30.65     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   24.99   33.58  2079.70  1343.88    58.45     0.03    0.43   0.26   1.54
dm-5              0.00     0.00    0.79    0.04     6.35     0.33     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
dm-8              0.00     0.00    0.02    2.50     2.06    20.03     8.75     0.01    2.67   0.24   0.06
dm-9              0.00     0.00   24.87   31.07  2076.79  1323.84    60.79     0.02    0.33   0.27   1.49
dm-1              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00
dm-2              0.00     0.00    0.07    0.00     0.56     0.00     8.00     0.00    0.11   0.11   0.00

05/16/13 04:10:02 PM

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00   25.58   28.34  2073.57  1333.43    63.18     0.02    0.30   0.28   1.50
dm-0              0.02     5.06   25.19   28.34  2070.40  1333.43    63.58     0.02    0.32   0.29   1.56
dm-3              0.00     0.00    0.17    0.00     5.27     0.00    30.56     0.00    0.18   0.14   0.00
dm-4              0.00     0.00   24.78   33.40  2063.05  1333.43    58.38     0.03    0.43   0.26   1.53
dm-5              0.00     0.00    0.79    0.04     6.30     0.33     8.00     0.00    0.68   0.07   0.01
dm-6              0.00     0.00    0.01    0.00     0.08     0.00     8.00     0.00    0.07   0.07   0.00
dm-7              0.00     0.00    0.01    0.00     0.03     0.01     3.12     0.00    0.48   0.15   0.00
